sub,ses,RUN,anat,dwi,func
S001,T01,False,True,True,True
S002,T01,True,True,False,True
S003,T01,True,True,True,False
S004,T01,True,True,True,True
S005,T01,True,True,True,True
S006,T01,True,True,True,True
S007,T01,True,True,True,True
S008,T01,True,True,False,True
S009,T01,True,True,True,False
S010,T01,True,True,True,True
S011,T01,True,True,True,True
S012,T01,True,True,True,True
S013,T01,True,True,True,True
S014,T01,True,True,True,True
S015,T01,True,True,False,True
S016,T01,True,True,True,True
S016,T02,True,True,True,False
S017,T01,True,True,True,True
S017,T02,True,True,True,False
S018,T01,True,True,True,False
S018,T02,True,True,True,False
S019,T01,True,True,True,True
S020,T01,True,True,True,True
S020,T02,True,True,True,False
S021,T01,True,True,True,True
S021,T02,True,True,True,False
S022,T01,True,True,True,True
S022,T02,True,True,True,False
S023,T01,True,True,True,True
S023,T02,True,True,True,False
S024,T01,True,True,True,False
S024,T02,True,True,True,False
S025,T01,True,True,True,True
S025,T02,True,True,True,False
S026,T01,True,True,False,True
S026,T02,True,True,False,True
S027,T01,True,True,True,True
S027,T02,True,True,True,True
S028,T01,True,True,True,True
S028,T02,True,True,True,True
S029,T01,True,True,True,True
S029,T02,True,True,True,True
S030,T02,True,True,False,True
S030,T01,True,True,True,True
S031,T01,True,True,True,True
S031,T02,True,True,True,True
S032,T01,True,True,True,True
S032,T02,True,True,True,True
S033,T01,True,True,True,True
S033,T02,True,True,True,True
S034,T01,True,True,True,True
S034,T02,True,True,True,True
S035,T01,True,True,True,True
S035,T02,True,True,True,True
S036,T01,True,True,True,True
S036,T02,True,True,True,True
S037,T01,True,True,True,True
S037,T02,True,True,True,True
S038,T01,True,True,True,True
S038,T02,True,True,True,True
